parameter_label,value,x,y,z,z_mode,roll,yaw,wait_ms,fine,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw,catmull_wait_ms,catmull_fine
,,33.992716900,132.205805160,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 15: Turn Left 90 (Local: -6.0, 0.0)
,,33.992716900,132.205805160,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 16: Forward 2m (Local: -8.0, 0.0)
,,33.992716900,132.205783513,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 17: Turn Left 90 (Local: -8.0, 0.0)
,,33.992716900,132.205783513,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 18: Forward 20m (X=-8.0) (Local: -8.0, -20.0)
,,33.992536594,132.205783513,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 19: Turn Right 90 (Local: -8.0, -20.0)
,,33.992536594,132.205783513,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 20: Forward 2m (Local: -10.0, -20.0)
,,33.992536594,132.205761866,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 21: Turn Right 90 (Local: -10.0, -20.0)
,,33.992536594,132.205761866,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 22: Forward 20m (X=-10.0) (Local: -10.0, 0.0)
,,33.992716900,132.205761866,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 23: Turn Left 90 (Local: -10.0, 0.0)
,,33.992716900,132.205761866,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 24: Forward 2m (Local: -12.0, 0.0)
,,33.992716900,132.205740220,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 25: Turn Left 90 (Local: -12.0, 0.0)
,,33.992716900,132.205740220,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 26: Forward 20m (X=-12.0) (Local: -12.0, -20.0)
,,33.992536594,132.205740220,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 27: Turn Right 90 (Local: -12.0, -20.0)
,,33.992536594,132.205740220,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 28: Forward 2m (Local: -14.0, -20.0)
,,33.992536594,132.205718573,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 29: Turn Right 90 (Local: -14.0, -20.0)
,,33.992536594,132.205718573,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 30: Forward 20m (X=-14.0) (Local: -14.0, 0.0)
,,33.992716900,132.205718573,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 31: Turn Left 90 (Local: -14.0, 0.0)
,,33.992716900,132.205718573,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 32: Forward 2m (Local: -16.0, 0.0)
,,33.992716900,132.205696926,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 33: Turn Left 90 (Local: -16.0, 0.0)
,,33.992716900,132.205696926,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 34: Forward 20m (X=-16.0) (Local: -16.0, -20.0)
,,33.992536594,132.205696926,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 35: Turn Right 90 (Local: -16.0, -20.0)
,,33.992536594,132.205696926,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 36: Forward 2m (Local: -18.0, -20.0)
,,33.992536594,132.205675279,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 37: Turn Right 90 (Local: -18.0, -20.0)
,,33.992536594,132.205675279,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 38: Forward 20m (X=-18.0) (Local: -18.0, 0.0)
,,33.992716900,132.205675279,3.0,1,0.0,90.0,0,0,,,,,,,,,
# Waypoint 39: Turn Left 90 (Local: -18.0, 0.0)
,,33.992716900,132.205675279,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 40: Forward 2m (Local: -20.0, 0.0)
,,33.992716900,132.205653633,3.0,1,0.0,180.0,0,0,,,,,,,,,
# Waypoint 41: Turn Left 90 (Local: -20.0, 0.0)
,,33.992716900,132.205653633,3.0,1,0.0,-90.0,0,0,,,,,,,,,
# Waypoint 42: Forward 20m (X=-20.0) (Local: -20.0, -20.0)
,,33.992536594,132.205653633,3.0,1,0.0,-90.0,0,0,,,,,,,,,
